,country,year,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
20,Israel,2021,49322.928338998594,97.21208215936103,100.0
21,Israel,2022,50950.621141211006,96.45653467252262,100.0
22,Israel,2023,52578.313943423425,95.7009871856842,100.0
23,Israel,2024,54206.00674563584,94.94543969884577,100.0
24,Israel,2025,55833.69954784826,94.18989221200736,100.0
20,Ireland,2021,89862.84169886238,23.190321308520815,97.89940219639254
21,Ireland,2022,93478.30784647234,24.740193153833744,97.89946527971664
22,Ireland,2023,97093.77399408231,26.290064999146672,97.89952836304074
23,Ireland,2024,100709.24014169228,27.8399368444596,97.89959144636485
24,Ireland,2025,104324.70628930224,29.38980868977253,97.89965452968895
20,Iraq,2021,4111.803917922502,86.40899064175338,86.60071364090044
21,Iraq,2022,4068.787051998708,95.7162877475383,86.60142728177308
22,Iraq,2023,4025.770186074915,105.02358485332324,86.60214092264573
23,Iraq,2024,3982.7533201511214,114.33088195910818,86.60285456351838
24,Iraq,2025,3939.736454227328,123.63817906489312,86.60356820439102
20,Bulgaria,2021,10354.900019242756,36.442538654931624,99.38663725624835
21,Bulgaria,2022,10651.722630242755,34.80698103356788,99.37610572308446
22,Bulgaria,2023,10948.545241242755,33.17142341220414,99.36557418992058
23,Bulgaria,2024,11245.367852242754,31.5358657908404,99.3550426567567
24,Bulgaria,2025,11542.190463242756,29.90030816947666,99.34451112359281
20,Iran (Islamic Republic of),2021,14483.760777919464,81.28909068613167,96.200542105743
21,Iran (Islamic Republic of),2022,17784.24670644284,81.28910008316306,96.20079056056824
22,Iran (Islamic Republic of),2023,21084.732634966214,81.28910948019445,96.20103901539349
23,Iran (Islamic Republic of),2024,24385.21856348959,81.28911887722585,96.20128747021873
24,Iran (Islamic Republic of),2025,27685.704492012963,81.28912827425724,96.20153592504397
20,Indonesia,2021,4031.3417143682523,29.71640591681713,87.40973057444312
21,Indonesia,2022,4193.094902368252,29.736266548063924,87.41875609789979
22,Indonesia,2023,4354.848090368252,29.756127179310713,87.42778162135646
23,Indonesia,2024,4516.601278368253,29.775987810557506,87.43680714481312
24,Indonesia,2025,4678.354466368252,29.7958484418043,87.44583266826979
20,India,2021,1981.9184560291894,66.49491159450432,94.10343715814389
21,India,2022,2032.8656899395894,66.49674377832973,94.10668633568883
22,India,2023,2083.812923849989,66.49857596215513,94.1099355132338
23,India,2024,2134.760157760389,66.50040814598054,94.11318469077875
24,India,2025,2185.7073916707886,66.50224032980594,94.11643386832371
20,Iceland,2021,67257.17741603432,0.3970574219115475,100.0
21,Iceland,2022,70804.01016563963,0.39980783732677067,100.0
22,Iceland,2023,74350.84291524494,0.40255825274199386,100.0
23,Iceland,2024,77897.67566485023,0.405308668157217,100.0
24,Iceland,2025,81444.50841445554,0.4080590835724402,100.0
20,Hungary,2021,16536.132509808445,7.8732173245338535,100.00000016062349
21,Hungary,2022,16936.866289931204,7.801081458133849,100.00000032124697
22,Hungary,2023,17337.600070053966,7.728945591733845,100.00000048187044
23,Hungary,2024,17738.333850176725,7.656809725333841,100.00000064249392
24,Hungary,2025,18139.067630299483,7.5846738589338365,100.0000008031174
20,Burkina Faso,2021,856.4475608676757,7.820269592475205,82.30068885974
21,Burkina Faso,2022,882.8675532843258,7.820271498550346,82.30129443994794
22,Burkina Faso,2023,909.2875457009759,7.820273404625487,82.30190002015587
23,Burkina Faso,2024,935.707538117626,7.820275310700629,82.3025056003638
24,Burkina Faso,2025,962.127530534276,7.820277216775771,82.30311118057173
20,Uruguay,2021,13925.988509036493,9.7860962567,99.69854213689185
21,Uruguay,2022,12404.709462590403,9.7860962567,99.69712886225422
22,Uruguay,2023,10883.43041614431,9.7860962567,99.6957155876166
23,Uruguay,2024,9362.151369698218,9.7860962567,99.69430231297898
24,Uruguay,2025,7840.872323252128,9.7860962567,99.69288903834136
20,France,2021,39208.270965945725,22.843276329258035,100.0
21,France,2022,39447.700672869854,22.692265211357977,100.0
22,France,2023,39687.13037979398,22.541254093457916,100.0
23,France,2024,39926.56008671811,22.390242975557857,100.0
24,France,2025,40165.98979364224,22.2392318576578,100.0
20,Honduras,2021,2364.689728015994,4.483331169016639,91.2007270708349
21,Honduras,2022,2323.6444555036605,4.3477365287833045,91.20102432463732
22,Honduras,2023,2282.5991829913264,4.21214188854997,91.20132157843975
23,Honduras,2024,2241.5539104789927,4.076547248316636,91.20161883224218
24,Honduras,2025,2200.5086379666586,3.940952608083302,91.20191608604459
20,Guyana,2021,7249.984716315204,3.2984018193825237,98.30490149294997
21,Guyana,2022,7544.364416110516,3.2984018124408547,98.30966560559871
22,Guyana,2023,7838.744115905826,3.2984018054991857,98.31442971824745
23,Guyana,2024,8133.123815701137,3.2984017985575163,98.3191938308962
24,Guyana,2025,8427.503515496448,3.2984017916158472,98.32395794354494
20,Burundi,2021,284.93452620754016,10.192867163625964,75.90014648676464
21,Burundi,2022,283.99327028711497,10.19286678725194,75.9002112351085
22,Burundi,2023,283.0520143666897,10.192866410877917,75.90027598345236
23,Burundi,2024,282.1107584462645,10.192866034503894,75.90034073179622
24,Burundi,2025,281.16950252583933,10.19286565812987,75.90040548014008
20,Guinea-Bissau,2021,710.2715538518136,1.4957264957,79.30785424780775
21,Guinea-Bissau,2022,725.9720524268444,1.4957264957,79.31562549560866
22,Guinea-Bissau,2023,741.6725510018753,1.4957264957,79.32339674340956
23,Guinea-Bissau,2024,757.373049576906,1.4957264957,79.33116799121046
24,Guinea-Bissau,2025,773.0735481519368,1.4957264957,79.33893923901137
20,Guinea,2021,1237.2900765244015,1.369052173128718,76.79949927912753
21,Guinea,2022,1295.4638205458893,1.3688707769982646,76.79900180649595
22,Guinea,2023,1353.6375645673772,1.3686893808678116,76.79850433386439
23,Guinea,2024,1411.8113085888651,1.3685079847373582,76.7980068612328
24,Guinea,2025,1469.985052610353,1.368326588606905,76.79750938860124
20,Guatemala,2021,4495.54806552648,5.742098331100589,92.79992445179651
21,Guatemala,2022,4626.834274695413,5.742099581501134,92.79984902022755
22,Guatemala,2023,4758.120483864347,5.742100831901678,92.7997735886586
23,Guatemala,2024,4889.406693033281,5.742102082302222,92.79969815708962
24,Guatemala,2025,5020.692902202215,5.742103332702767,92.79962272552066
20,Greece,2021,17411.588252778325,20.53624865167482,100.00016802513271
21,Greece,2022,16698.895522823856,20.595054454043396,100.00022216442497
