,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_total_country_area_cultivated,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,gdp_per_capita,industrial_water_withdrawal,municipal_water_withdrawal,population_density,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,total_agricultural_water_managed_area,total_internal_renewable_water_resources_per_capita,total_population,total_population_with_access_to_safe_drinking_water,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,%_of_agricultural_water_managed_area_equipped_for_irrigation,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,national_rainfall_index,ratio_between_rainfed_and_irrigated_yields,water_stress,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_renewable_groundwater,water_resources_total_external_renewable
158,Mongolia,2024,7.12381800307397,0.8962976996307029,29.511567323908146,12.04275008792647,1401.9152069717286,70.9609148523685,6307.358758214395,0.3920433123267811,0.03534786058419238,2.154487564252163,1141.2905589102968,36.99241379121938,0.3732286122983899,136.57065532949542,27.45706199610841,85.59831051365843,9877.759347456042,3369.872413877405,68.38047563283536,9877.759347456042,0.6029731509228221,130.13405552835312,2431.3697522565653,100.0,0.27422470635774343,0.7880020298724453,0.0,0.0,0.0,177.5,1.778,4.324781838245059,0.0,26.4,156411.2070482567,0.25,34.8,6.1,0.0
159,Mongolia,2025,7.604674251217422,0.9117569959218218,20.71449924302761,11.955636912304332,1426.0952382312305,69.20766809849155,6592.733128602696,0.4759851820517483,0.02664630195725917,2.1918606027514187,1176.9186978511336,38.081222193953145,0.38030331158030584,150.1574489239603,28.996985911344993,87.05650708062217,9633.707399312845,3428.3279381637944,68.64519382548902,9633.707399312845,0.656333212053079,121.19034400656324,2476.461440185394,100.0,0.27933439577093155,0.8026850452674847,0.0,0.0,0.0,177.5,1.778,4.840276662912987,0.0,26.4,156411.12760597724,0.25,34.8,6.1,0.0
160,Mozambique,2021,1.5356417398691977,8.789761082626526,72.83070641103139,27.056279485867588,7015.977744490423,2128.050778775988,343.74274376474256,0.028315625548647635,0.4409556937025059,38.56073056123204,20649.46952287717,111.03891677592387,0.06984267309904836,21.869961888120436,7.877819122424194,118.1,2879.058110070011,30776.119542394,54.7034259705169,6231.73993714961,1.6707765528866707,45.70902756174943,11227.880669903501,100.0,1.1979770861910723,0.5518088835124025,53.8000921234,0.0,0.0,1005.0,1.416,1.9866546408007013,116.8,1.0,79949.94028024173,74.13657,100.3,17.0,116.8
161,Mozambique,2022,1.5405546446035865,8.529639548990119,73.40142492478522,25.62609683270234,6807.102686091346,2054.1107889850564,341.1545063122326,0.03176063302917075,0.44906529891011543,39.47312106332816,21046.683553302093,127.66194476268615,0.06744387815847154,21.561562625349538,8.13308704397428,118.1,2779.024065116504,31501.07377709075,55.27021863157445,6015.215598572202,1.6995601994438294,44.1350986323074,11623.34657664425,100.0,1.220758817691698,0.5623025414875688,53.8000921234,0.0,0.0,1005.0,1.416,2.0208801420452436,116.8,1.0,80164.28924046792,74.13657,100.3,17.0,116.8
162,Mozambique,2023,1.5447398114312578,8.743602122175204,74.02998997792008,28.772250693922825,6976.7437262980875,1982.3285462645354,319.47008607754884,0.035330801877608835,0.4564762385210717,40.37302248371565,21430.286674286468,133.72233018700112,0.07057119549107206,23.23858042697772,8.482805897627168,118.1,2681.90925464073,32213.905771776794,55.83132167357947,5805.0099619393695,1.7270307164957641,42.42298924259797,12025.00813730701,100.0,1.2433596390797725,0.5727128692029598,53.8000921234,0.0,0.0,1005.0,1.416,2.0535442526555987,116.8,1.0,80401.51150091272,74.13657,100.3,17.0,116.8
163,Mozambique,2024,1.5480977877406585,8.899221124334233,74.73240568137058,32.57170391103026,7099.947258124759,1910.4258983024365,255.14621449518066,0.0390156022268524,0.4629174240488148,41.27304597150003,21802.70199502658,142.15520207405584,0.07386427707394506,24.137152953683838,8.713686910501702,118.1,2584.6315468832,32927.77630292728,56.27154303661446,5594.45173308477,1.7525487836701528,40.52694798336827,12438.170447646316,100.0,1.265511095140822,0.5829162114569989,53.8000921234,0.0,0.0,1005.0,1.416,2.083886781972659,116.8,1.0,80673.65416657558,74.13657,100.3,17.0,116.8
164,Mozambique,2025,1.5502724499448,8.643566427423721,75.51635615163832,36.06507626307732,6893.621150550656,1836.9088901329333,204.38323536767032,0.04284644200529341,0.46807480899304293,42.193697606507605,22165.820887958624,156.63855048469745,0.07658342605482128,24.705438998461865,9.035843928560832,118.1,2485.1697573858146,33654.555294125625,56.77842643742652,5379.166045149901,1.7752453786970745,38.4010935221899,12867.89922950885,100.0,1.2867061014649743,0.5926789964821587,53.8000921234,0.0,0.0,1005.0,1.416,2.110874409913315,116.8,1.0,80971.0943756068,74.13657,100.3,17.0,116.8
165,Austria,2021,4.420482941082581,16.57065099072073,1.9603150332778287,0.9015638959490765,1389.9372328867241,237.663584197436,44427.32812949771,2.7190258951375306,0.6836529576595101,106.41507069886613,3851.2742801017566,35.397983713481324,2.1636988105556108,385.653354468372,109.01446374969814,99.82415069772154,6143.486925252769,8926.038854622644,100.0,8679.071528948109,3.4735269954963,374.5954957009616,5010.327343265859,100.0,0.06504587818310942,0.08371412889506233,29.2149292149,0.0,0.0,1126.0,1.778,9.434062247169432,22.7,77.7,8387.843840464728,2.1277,55.0,6.0,22.7
166,Austria,2022,4.04441278039394,16.542333479344844,1.8541763841191974,0.9001384998317142,1387.567875763849,236.41119682166882,46839.18585772225,2.725934904904863,0.6280795620475261,106.92518580493376,3881.74180922487,37.328092423137235,1.8098816862015448,427.2436935565715,113.1745403956563,101.80391184941985,6111.113326688197,8968.864598843344,100.0,8633.336463339347,3.3981403201535647,370.89097548064774,5021.065069924812,100.0,0.06098308777806947,0.07848531242188021,29.2149292149,0.0,0.0,1126.0,1.778,9.463077854244538,22.7,77.7,8387.865519460333,2.1277,55.0,6.0,22.7
167,Austria,2023,4.05978772144229,16.466753987539867,1.8266150745379226,0.9068206486936837,1381.2190323879029,234.9336271933923,37279.57519108005,2.744634408933728,0.6011262553207011,107.59405278311351,3875.0097252738638,35.59275631378955,1.5568586015153252,435.2558045548307,109.33844699966343,116.85553479217108,6072.918877489026,9024.910683372269,100.0,8579.378123289147,3.363722932679746,374.6325056237839,5056.925467847969,100.0,0.061408441938280205,0.07903274377378604,29.2149292149,0.0,0.0,1126.0,1.778,9.477937980352461,22.7,77.7,8387.80887125831,2.1277,55.0,6.0,22.7
