,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_agricultural_water_managed_area_equipped_for_irrigation,%_of_total_country_area_cultivated,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,industrial_water_withdrawal,municipal_water_withdrawal,national_rainfall_index,population_density,ratio_between_rainfed_and_irrigated_yields,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_agricultural_water_managed_area,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_internal_renewable_water_resources_per_capita,total_population,total_renewable_groundwater,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,water_resources_total_external_renewable
1853,Congo,2020,0.1182015529,100.0,1.8362573099,0.004,0.0004807692,4.3620501636,7.224171,628.0,1.6310000187,73.3173076923,0.0,0.0,0.024,0.0637,1653.0,16.1347573099,1.444,1829.564,160.9009554576,0.1842589411,60.8102107302,84.3617272657,52.0,197.0,2.0,34200.0,0.009,222.0,40231.3337937586,5518.087,122.0,150776.890614447,0.0917,16.618077968,3857.353,610.0
1910,Costa Rica,2020,32.8179964991,100.0,10.988258317,2.075019024,1.8363000212,66.1660459218,4.351979,561.5,391.9559774626,0.0,0.0,0.0,0.23284,0.8282192996,2865.0,99.6891976517,1.348,969.965,44.2372051803,0.4196925489,52.7400714035,17.4904451386,0.0,9.655,159.59,5110.0,1.99667,113.0,22182.4465000614,5094.118,37.31,22182.4465000614,3.136078324,615.6273419658,4074.214,0.0
1939,Croatia,2020,3.0772143149,100.0,17.1054956706,0.076,0.0720379147,6.1838893409,3.216501,968.0,234.3331140216,64.2654028436,0.0,0.0,0.697,0.456,824.2,72.5440360488,1.778,1747.114,13.2192275463,0.6844877554,72.5831642974,34.4700940511,33.47,39.7,47.277,5659.0,0.962,37.7,9183.3247386833,4105.267,11.0,25698.6938973762,1.229,299.3715146908,2368.833,67.8
1996,Cuba,2020,26.3993022987,100.0,32.4135420459,4.519,11.8546694648,64.9374910188,3.691781,3561.6,499.8964386186,0.0,0.0,0.0,0.74,1.7,1103.0,103.0816891154,2.234,2621.644,25.2652540932,0.1749544687,34.3364663925,11.1882310879,0.0,0.0,639.09,10988.0,5.662135,38.12,3365.5241777421,11326.616,6.48,3365.5241777421,6.959,614.3935664456,8873.848,0.0
2053,Cyprus,2020,30.2206569223,100.0,14.2564648649,0.172,22.0512820513,62.5454545455,1.937035,131.8723,276.3933511077,0.0,0.0,0.0,0.017,0.103,344.3,130.5252972973,1.778,400.589,153.503573392,0.802194129,173.4120467964,74.941741665,0.0,0.0,38.125,925.0,0.333706,0.78,646.0381709169,1207.359,0.41,646.0381709169,0.275,227.7698679515,806.754,0.0
2081,Czechia,2020,1.5345166898,100.0,32.1317300235,0.039,0.2965779468,2.8550512445,1.915351,2534.262,297.348552584,0.0,0.0,0.0,0.698,0.629,707.1,135.7784184582,1.778,2758.156,80.0101878453,1.5306429407,198.810480656,132.473351774,0.0,13.2,36.4,7887.101,3.1843,13.15,1227.9412952549,10708.981,1.43,1227.9412952549,1.366,127.5564874006,7875.268,0.0
2138,Côte d'Ivoire,2020,1.5651296027,81.7415730337,24.8092786702,0.6,0.7130972189,51.6351118761,19.96582,8000.0,1411.9157303469,8.6760161635,0.0,0.0,0.242,0.32,1187.0,81.8032438132,2.648,12639.438,45.8883563245,0.3177543917,104.553259156,38.5134920787,4.3,13.2,89.0,32246.0,37.2439,76.84,2913.0033299374,26378.274,37.84,3189.7462282786,1.162,44.0514038182,13532.312,7.3
2195,Democratic People's Republic of Korea,2020,65.6255719324,100.0,21.0718433715,6.61,8.5677252106,76.3473399709,22.367666,2540.0,823.4034487852,13.1561892417,0.0,0.0,1.145,0.9028,,213.8610917538,1.765,9720.959,4.9956787068,0.3328864273,6.5542043895,1.5982775216,0.0,4.85,1460.0,12054.0,21.226366,67.0,2599.0332527297,25778.816,13.0,2992.7673947477,8.6578,335.8494044102,16119.904,10.15
2252,Democratic Republic of the Congo,2020,0.3194780685,77.7777777778,6.5556152606,0.0719,0.005604053,10.517846694,21.082123,15372.0,0.590298926,29.8519095869,0.0,0.0,0.1468,0.4649,1571.0,38.194776234,3.058,48656.754,107.2379098893,0.4239716985,40.8094311256,50.82696499,383.0,3.301,13.5,234486.0,0.052868,900.0,10048.9716535593,89561.403,421.0,14325.3673683517,0.6836,7.6327522471,40848.447,383.0
2309,Denmark,2020,16.2490835482,100.0,55.8616495806,0.527336,8.7889333333,54.0065340065,1.30634,2397.582,3.4529182511,0.0,0.0,0.0,0.048975,0.400119,694.0,134.9534482759,1.778,688.897,1320.4037020048,1.3192404839,540.491647591,288.4215272451,0.0,0.0,299.492,4292.0,0.02,6.0,1035.8754753374,5792.202,4.3,1035.8754753374,0.97643,168.5766483973,5107.903,0.0
2366,Dominican Republic,2020,32.3364418431,100.0,25.3133347031,7.563,32.1829787234,83.3122197865,6.041478,1232.0,208.8605086141,0.0,0.0,0.0,0.6599,0.855,820.9,222.8869940415,1.61,1939.482,36.2003238459,0.2151091957,57.2707366826,8.2047548901,0.0,1.015,310.1,4867.0,2.2657,23.5,2166.3159078569,10847.91,4.161,2166.3159078569,9.0779,836.8340076568,9168.876,0.0
2423,Ecuador,2020,55.5668941472,100.0,9.6774193548,8.076,1.8254972875,81.427707199,9.803302,2481.0,435.967605155,0.0,0.0,0.0,0.549,1.293,2575.0,68.8187151383,1.77,6212.001,51.7576384834,0.6328312929,39.4380428847,8.5217864991,0.0,163.8,1710.0,25637.0,7.6918,442.4,25075.023859248,17643.054,134.0,25075.023859248,9.918,562.1475737704,11123.641,0.0
2480,Egypt,2020,100.0,100.0,3.9652503869,61.35,106.6956521739,79.1612903226,11.508308,3971.0,1643.5992923748,98.2608695652,1.0,1.0,5.4,10.75,106.6,102.1862339608,,58900.432,21.8309540723,0.7460229108,19.9087736537,4.8732254755,84.0,0.0,3823.0,100145.0,168.196754,1.0,9.7718847319,102334.404,1.5,561.8833720867,77.5,757.3210667255,44041.052,56.5
2537,El Salvador,2020,4.0368024919,100.0,41.8726235741,1.431,5.4472782642,67.5637393768,5.112466,881.0,598.038452377,40.5024743053,0.0,0.0,0.213,0.474,1434.0,308.2797053232,1.417,1720.558,23.0489518317,0.0342952167,32.445620688,9.6023264407,10.64,0.0,45.5554,2104.0,3.879,15.63,2409.7295722229,6486.205,6.15,4050.1340922774,2.118,326.5391704394,4758.508,10.64
2565,Eritrea,2020,2.8408382241,100.0,5.6893705465,0.55,7.5187969925,94.5017182131,17.586568,692.0,12.4378916096,61.7224880383,0.0,0.0,0.001,0.031,333.0,29.157374542,2.42,3186.178,683.166226232,0.0206115383,39.6660523518,3.3060999918,0.7,0.7,21.59,12163.0327,0.04411,2.8,789.528372407,3546.421,0.5,2062.6428729133,0.582,164.1091116932,2246.038,4.515
2594,Estonia,2020,0.4898690158,100.0,15.4168504632,0.004856759,0.037925652,0.5694056983,2.166612,699.0,137.5764680163,0.7496486022,0.0,0.0,0.785153507,0.062942034,621.4,29.2574988972,1.778,400.194,6.5285550989,0.5740686988,274.753378639,26.2878036026,0.096,0.096,1.737,4534.0,0.1825,12.71,9581.3529232172,1326.535,4.0,9653.7219146121,0.8529523,642.9926839473,900.365,0.096
2651,Eswatini,2020,30.4127589147,100.0,10.9447004608,1.006,22.3059866962,94.1947565543,8.467782,190.0,504.2304363866,41.4634146341,0.0,0.0,0.0207,0.0413,648.0,66.8297235023,1.408,1091.4,64.9396424109,0.1059123122,54.1707942594,3.4532323848,1.87,4.5,49.851,1736.0,0.58499,2.64,2275.5403546395,1160.164,0.66,3887.3814391758,1.068,920.5595071042,347.895,1.87
2679,Ethiopia,2020,5.2965402904,43.8247096594,16.260743694,9.687,7.9401639344,91.8364444782,35.561652,18476.1,273.8606244614,0.0,0.0,0.0,0.0511,0.81,1073.0,101.179006317,1.374,88295.647,400.0135707115,0.1774409506,42.2707896588,5.3468305738,0.0,96.5,1958.1563234127,113623.9544,31.484,122.0,1061.2055705847,114963.588,20.0,1061.2055705847,10.5481,91.7516596646,24463.423,0.0
2736,Fiji,2020,3.8544918488,100.0,7.5862068966,0.05,0.1751313485,58.8928150766,14.502369,138.6,148.403973473,0.0,0.0,0.0,0.0096,0.0253,2376.0,49.0665024631,1.778,395.426,69.9970635583,0.491344024,91.3882326239,35.4377066754,0.0,0.0,4.0,1827.0,0.133036,28.55,31848.0219087618,896.445,5.273,31848.0219087618,0.0849,94.7074276726,529.489,0.0
2793,Finland,2020,0.3156523067,100.0,6.6416521405,1.0,0.9090909091,28.5714285714,2.450787,2248.0,3357.5058837119,2.7272727273,0.0,0.0,2.0,0.5,518.3,16.3698998434,1.778,808.148,26.4782821348,0.0191564185,310.0327617064,59.4263147261,3.0,27.0,71.2,33847.0,18.603,107.0,19311.5696155012,5540.72,2.2,19853.0154925714,3.5,631.6868565818,4771.979,3.0
